run,evaluations,best_fitness,current_fitness,temperature,accepted
16,16218.9,959632.205720,959632.205720,0.492385,1
16,16219.9,959632.205720,959632.205720,0.443147,1
16,16239.6,957312.377174,957312.377174,0.398832,1
16,16258.3,957267.662745,957267.662745,0.358949,1
16,16383.3,957264.342229,957264.342229,0.323054,1
16,16384.3,957264.342229,957264.342229,0.290749,1
16,16403.1,956985.268521,956985.268521,0.261674,1
16,16656.1,956940.560181,956940.560181,0.235506,1
16,16661.1,956940.560181,956940.560181,0.211956,1
16,16662.1,956940.560181,956940.560181,0.190760,1
16,16663.1,956940.560181,956940.560181,0.171684,0
16,16681.8,955437.268941,955437.268941,0.154516,1
16,16682.8,955410.250777,955410.250777,0.139064,1
16,16683.8,955410.250777,955410.250777,0.125158,1
16,16702.5,954426.853921,954426.853921,0.112642,1
16,17061.5,954413.760159,954413.760159,0.101378,1
16,17195.5,954327.140438,954327.140438,5.000000,1
16,17214.3,952978.773104,952978.773104,4.500000,1
16,17271.3,952954.411168,952954.411168,4.050000,1
16,17272.3,952954.411168,952954.411168,3.645000,0
16,17291.0,951479.169366,951479.169366,3.280500,1
16,17630.0,951472.957983,951472.957983,2.952450,1
16,17635.0,951472.957983,951472.957983,2.657205,1
16,17654.7,950502.845928,950502.845928,2.391485,1
16,17655.7,950502.845928,950502.845928,2.152336,0
16,17674.4,950480.588855,950480.588855,1.937102,1
16,17767.4,950477.243596,950477.243596,1.743392,1
16,17768.4,950477.243596,950477.243596,1.569053,0
16,17787.1,950108.096782,950108.096782,1.412148,1
16,18162.1,950091.904937,950091.904937,1.270933,1
16,18174.6,950091.904937,950091.904937,1.143840,1
16,18175.6,950091.904937,950091.904937,1.029456,1
16,18180.6,950090.577413,950090.577413,0.926510,1
16,18199.3,950065.194322,950065.194322,0.833859,1
16,18229.3,950060.151641,950060.151641,0.750473,1
16,18230.3,950060.151641,950060.151641,0.675426,1
16,18249.0,947831.518708,947831.518708,0.607883,1
16,18263.0,947802.020339,947802.020339,0.547095,1
16,18275.4,947802.020339,947802.020339,0.492385,1
16,18398.4,947749.727628,947749.727628,0.443147,1
16,18399.4,947749.727628,947749.727628,0.398832,1
16,18418.1,945234.534018,945234.534018,0.358949,1
16,18458.1,945229.368086,945229.368086,0.323054,1
16,18459.1,945229.368086,945229.368086,0.290749,1
16,18477.8,945156.056442,945156.056442,0.261674,1
16,18788.8,945110.461079,945110.461079,0.235506,1
16,18793.9,945110.461079,945110.461079,0.211956,1
16,18794.9,945110.461079,945110.461079,0.190760,0
16,19250.6,944635.498472,944635.498472,0.171684,1
16,19269.2,943126.091346,943126.091346,0.154516,1
16,19345.2,943125.835332,943125.835332,0.139064,1
16,19346.2,943125.835332,943125.835332,0.125158,1
16,19364.9,942174.191468,942174.191468,0.112642,1
16,19676.9,942166.398749,942166.398749,0.101378,1
16,20134.9,942133.360725,942133.360725,5.000000,1
16,20153.6,941613.294556,941613.294556,4.500000,1
16,20290.6,941613.024131,941613.024131,4.050000,1
16,20291.6,941613.024131,941613.024131,3.645000,1
16,20310.3,941588.285663,941588.285663,3.280500,1
16,20702.3,941552.815697,941552.815697,2.952450,1
16,20707.3,941552.815697,941552.815697,2.657205,1
16,20727.0,940821.388508,940821.388508,2.391485,1
16,21174.7,940327.108454,940327.108454,2.152336,1
16,21193.3,940124.745462,940124.745462,1.937102,1
16,21296.3,940121.634025,940121.634025,1.743392,1
16,21297.3,940121.634025,940121.634025,1.569053,1
16,21316.0,939134.731288,939134.731288,1.412148,1
16,21476.0,939110.868159,939110.868159,1.270933,1
16,21488.5,939110.868159,939110.868159,1.143840,1
16,21489.5,939110.868159,939110.868159,1.029456,1
16,21490.5,939110.868159,939110.868159,0.926510,1
16,21509.2,939110.620401,939110.620401,0.833859,1
16,21626.2,939110.618998,939110.618998,0.750473,1
16,21627.2,939110.618998,939110.618998,0.675426,1
16,21645.8,938995.841457,938995.841457,0.607883,1
16,21955.8,938989.237699,938989.237699,0.547095,1
16,21960.9,938989.237699,938989.237699,0.492385,1
16,21961.9,938989.237699,938989.237699,0.443147,1
16,21962.9,938989.237699,938989.237699,0.398832,1
16,21981.5,937395.011062,937395.011062,0.358949,1
16,22088.5,937380.094667,937380.094667,0.323054,1
16,22089.6,937380.094667,937380.094667,0.290749,0
16,22108.2,935935.749519,935935.749519,0.261674,1
16,22348.3,935935.749519,935935.749519,0.235506,0
16,22353.4,935935.749519,935935.749519,0.211956,1
16,22354.4,935935.749519,935935.749519,0.190760,1
16,22374.1,934836.100452,934836.100452,0.171684,1
16,22392.7,934308.574002,934308.574002,0.154516,1
16,22552.7,934307.822642,934307.822642,0.139064,1
16,22553.7,934307.822642,934307.822642,0.125158,1
16,22572.4,934112.105367,934112.105367,0.112642,1
16,22814.4,934112.105367,934112.105367,0.101378,0
16,22815.4,934112.105367,934112.105367,5.000000,1
16,22834.1,934112.105367,934112.128258,4.500000,1
16,22998.1,934112.105367,934112.107907,4.050000,1
16,22999.1,934112.105367,934112.107907,3.645000,1
16,23017.7,934080.312464,934080.312464,3.280500,1
16,23236.7,934041.828693,934041.828693,2.952450,1
16,23241.7,934041.828693,934041.828693,2.657205,1
16,23261.4,933490.272466,933490.272466,2.391485,1
16,23281.1,933454.496786,933454.496786,2.152336,1
16,23299.7,932841.332370,932841.332370,1.937102,1
16,23505.7,932837.622648,932837.622648,1.743392,1
16,23506.7,932837.622648,932837.622648,1.569053,1
16,23525.4,931339.548662,931339.548662,1.412148,1
16,23656.4,931309.958062,931309.958062,1.270933,1
